Symbol,Industry,Price,Previous Close,Volume average,Last trade time
A SPAC I Acquisition Corp. (XNAS:ASCA),Holding Companies,10.05,10.04,4748,7/10/2022 20:00
ASPAC II Acquisition Corp. (XNAS:ASCB),Holding Companies,9.97,9.97,52112,7/10/2022 23:40
A SPAC II ACQUISITION UNT (XNAS:ASCBU),#FIELD!,9.96,9.56,17252,7/10/2022 13:30
Liberty All-Star Growth (XNYS:ASG),#FIELD!,5.11,5.29,161209,7/10/2022 23:00
abrdn Global Infra In (XNYS:ASGI),#FIELD!,15.93,16.2,23070,7/10/2022 23:00
ASGN Incorporated (XNYS:ASGN),Software & IT Services,92.71,95.37,218590,7/10/2022 23:00
ASHLAND INC. (XNYS:ASH),Chemicals,94.84,97.5,420058,7/10/2022 23:00
ADVANSIX INC. (XNYS:ASIX),Chemicals,32.74,34.3,149066,7/10/2022 23:00
AERSALE CORPORATION (XNAS:ASLE),Aerospace & Defense,18.7,19.08,192064,7/10/2022 23:53
ASLAN PHARMACEUTICALS LIMITED (XNAS:ASLN),Biotechnology & Medical Research,0.54,0.58,138228,7/10/2022 23:08
ASM International NV (XAMS:ASM),Semiconductors & Semiconductor Equipment,248.55,266.35,255260,7/10/2022 16:00
"ASSEMBLY BIOSCIENCES, INC. (XNAS:ASMB)",Pharmaceuticals,1.65,1.7,251544,7/10/2022 22:43
ASML Holding NV (XNAS:ASML),Semiconductors & Semiconductor Equipment,434.26,462.14,1062981,7/10/2022 23:59
Ascendis Pharma A/S (XNAS:ASND),Biotechnology & Medical Research,113,115.9,499208,7/10/2022 20:26
"ACADEMY SPORTS AND OUTDOORS, INC. (XNAS:ASO)",Specialty Retailers,44.56,45.71,2118665,7/10/2022 23:55
"ABRI SPAC I, INC. (XNAS:ASPA)",Holding Companies,10.04,10.04,26554,7/10/2022 20:00
"ASPEN AEROGELS, INC. (XNYS:ASPN)",Homebuilding & Construction Supplies,9.5,9.85,409077,7/10/2022 23:00
Altisource Portfolio Solutions SA (XNAS:ASPS),Real Estate Operations,12.31,12.56,86758,7/10/2022 20:00
"ASPEN GROUP, INC. (XNAS:ASPU)",Miscellaneous Educational Service Providers,0.37,0.42,145719,7/10/2022 20:00
Southeast Airport Group (XNYS:ASR),Transport Infrastructure,208.37,208.95,48966,7/10/2022 23:00
"ASSERTIO HOLDINGS, INC. (XNAS:ASRT)",Pharmaceuticals,2.19,2.32,767470,7/10/2022 23:57
"AMERISERV FINANCIAL, INC. (XNAS:ASRV)",Banking Services,3.71,3.76,8711,7/10/2022 20:00
ASTROTECH CORPORATION (XNAS:ASTC),Aerospace & Defense,0.43,0.43,277908,7/10/2022 22:59
"ASTEC INDUSTRIES, INC. (XNAS:ASTE)","Machinery, Equipment & Components",32.16,33.59,109649,7/10/2022 20:01
"ASCENT SOLAR TECHNOLOGIES, INC. (XNAS:ASTI)",Renewable Energy,3.86,4.24,37659,7/10/2022 22:13
Algoma Steel Group Inc. (XNAS:ASTL),Metals & Mining,6.63,6.9,1435983,7/10/2022 23:55
"ASTRA SPACE, INC. (XNAS:ASTR)",Aerospace & Defense,0.59,0.62,7104618,7/10/2022 23:59
"AST SPACEMOBILE, INC. (XNAS:ASTS)",Telecommunications Services,7.18,7.51,1762430,7/10/2022 23:59
"ASURE SOFTWARE, INC. (XNAS:ASUR)",Software & IT Services,5.15,5.51,47601,7/10/2022 20:00
"ASE Technology Holding Co., Ltd. (XNYS:ASX)",Semiconductors & Semiconductor Equipment,5.2,5.44,9761158,7/10/2022 23:52
"ASENSUS SURGICAL, INC. (XNYS:ASXC)",Healthcare Equipment & Supplies,0.41,0.44,885442,7/10/2022 23:59
"AMTECH SYSTEMS, INC. (XNAS:ASYS)",Semiconductors & Semiconductor Equipment,9.4,9.65,27647,7/10/2022 20:19
Austerlitz Acquisition Corp II (XNYS:ASZ),Holding Companies,9.94,9.93,1849785,7/10/2022 23:00
Americas Technology Acquisition Corp (XNYS:ATA),Holding Companies,10.44,10.44,2612,7/10/2022 20:00
ATAI Life Sciences NV (XNAS:ATAI),Biotechnology & Medical Research,3.37,3.41,625824,7/10/2022 23:51
Aurora Technology Acquisition Corp. (XNAS:ATAK),Holding Companies,10.03,10.02,33447,7/10/2022 20:00
AURORA TECHNOLOGY ACQUISITION UNT (XNAS:ATAKU),#FIELD!,10.05,10.09,2116,6/10/2022 16:07
ALTIMAR ACQUISITION CORP. III (XNYS:ATAQ),Holding Companies,9.92,9.92,46151,7/10/2022 23:00
AMERICA FIRST MULTIFMLY INVSTRS UNT (XNAS:ATAX),#FIELD!,17.21,17.15,30417,7/10/2022 20:56
ATLAS CORP. (XNYS:ATCO),Freight & Logistics Services,14.91,14.05,1484164,7/10/2022 23:40
ATLAS CORP. (XNAS:ATCOL),Freight & Logistics Services,25,25.19,3069,7/10/2022 20:00
"ATLAS TECHNICAL CONSULTANTS, INC. (XNAS:ATCX)",Construction & Engineering,6.87,6.98,81127,7/10/2022 20:01
"ALPHATEC HOLDINGS, INC. (XNAS:ATEC)",Healthcare Equipment & Supplies,8.97,9.92,697395,7/10/2022 22:06
ATHENA TECHNOLOGY ACQUISITION CORP. II (XNYS:ATEK),Holding Companies,9.87,9.85,63214,7/10/2022 23:00
"A10 NETWORKS, INC. (XNYS:ATEN)",Software & IT Services,14.78,14.85,677288,7/10/2022 23:00
"ATERIAN, INC (XNAS:ATER)",Household Goods,1.08,1.01,2842832,7/10/2022 23:59
ANTERIX INC. (XNAS:ATEX),Telecommunications Services,34.36,34.72,142525,7/10/2022 20:01
ADTALEM GLOBAL EDUCATION INC. (XNYS:ATGE),Miscellaneous Educational Service Providers,36.74,37.48,350753,7/10/2022 23:00
ALTERITY THERAPEUTICS LIMITED (XASX:ATH),Biotechnology & Medical Research,0.01,0.01,4137190,7/10/2022 8:00
"Athira Pharma, Inc. (XNAS:ATHA)",Biotechnology & Medical Research,3.02,3.16,233257,7/10/2022 21:21
ALTERITY THERAPEUTICS LIMITED (XNAS:ATHE),Biotechnology & Medical Research,0.47,0.49,132360,7/10/2022 23:34
AUTOHOME INC. (XNYS:ATHM),Media & Publishing,30.11,31.2,478033,7/10/2022 23:00
"ATHERSYS, INC. (XNAS:ATHX)",Biotechnology & Medical Research,1.67,1.73,3114645,7/10/2022 23:59
ATI Inc. (XNYS:ATI),Aerospace & Defense,27.96,28.35,1234504,7/10/2022 23:00
ATIF Holdings Limited (XNAS:ATIF),Professional & Commercial Services,1.71,1.68,6480,7/10/2022 20:04
"ATI PHYSICAL THERAPY, INC. (XNYS:ATIP)",Healthcare Providers & Services,1.05,1.02,453461,7/10/2022 23:00
ATKORE INC (XNYS:ATKR),"Machinery, Equipment & Components",86.27,88.4,426669,7/10/2022 23:00
ATLANTICUS HOLDINGS CORPORATION (XNAS:ATLC),Banking Services,26.39,27.45,33777,7/10/2022 20:01
ATLANTICUS HOLDINGS CORPORATION (XNAS:ATLCL),Banking Services,23.31,23.6,5351,7/10/2022 20:00
ATLANTICUS HOLDINGS CORPORATION (XNAS:ATLCP),Banking Services,20.99,21.44,6869,7/10/2022 20:00
AMES NATIONAL CORPORATION (XNAS:ATLO),Banking Services,22.13,22.36,16569,7/10/2022 20:00
180 LIFE SCIENCES CORP. (XNAS:ATNF),Biotechnology & Medical Research,0.6,0.65,141818,7/10/2022 23:55
"ATN INTERNATIONAL, INC. (XNAS:ATNI)",Telecommunications Services,35.34,36.34,50372,7/10/2022 20:18
"ACTINIUM PHARMACEUTICALS, INC (XNYS:ATNM)",Biotechnology & Medical Research,7.7,7.87,179767,7/10/2022 20:10
"ATHENEX, INC. (XNAS:ATNX)",Biotechnology & Medical Research,0.24,0.25,1118414,7/10/2022 22:26
ATMOS ENERGY CORPORATION (XNYS:ATO),Natural Gas Utilities,99.39,100.81,794744,7/10/2022 23:58
ATOMERA INCORPORATED (XNAS:ATOM),Semiconductors & Semiconductor Equipment,9.58,10.18,130695,7/10/2022 23:03
ATOSSA THERAPEUTICS INC. (XNAS:ATOS),Biotechnology & Medical Research,0.81,0.85,400156,7/10/2022 23:31
"APTARGROUP, INC. (XNYS:ATR)",Containers & Packaging,93.98,97.74,248538,7/10/2022 23:00
"ATARA BIOTHERAPEUTICS, INC. (XNAS:ATRA)",Biotechnology & Medical Research,3.82,4.18,1848306,7/10/2022 22:44
"ATRICURE, INC. (XNAS:ATRC)",Healthcare Equipment & Supplies,38.35,39.59,286969,7/10/2022 20:02
ATRION CORPORATION (XNAS:ATRI),Healthcare Equipment & Supplies,583.73,568.9,5477,7/10/2022 20:00
ASTRONICS CORPORATION (XNAS:ATRO),Aerospace & Defense,7.61,7.93,143202,7/10/2022 20:01
"AIR TRANSPORT SERVICES GROUP, INC. (XNAS:ATSG)",Freight & Logistics Services,26.94,27.25,418030,7/10/2022 20:10
Atento SA (XNYS:ATTO),Professional & Commercial Services,4.3,4.26,16591,7/10/2022 23:00
"ALTICE USA, INC. (XNYS:ATUS)",Telecommunications Services,5.43,5.75,5820350,7/10/2022 23:00
"ACTIVISION BLIZZARD, INC. (XNAS:ATVI)",Software & IT Services,73.35,73.83,6768019,7/10/2022 23:58
ADDENTAX GROUP CORP. (XNAS:ATXG),Freight & Logistics Services,2.85,3.44,6330174,7/10/2022 23:59
"AVENUE THERAPEUTICS, INC. (XNAS:ATXI)",Biotechnology & Medical Research,2.66,6.29,5848134,7/10/2022 23:59
"ASTRIA THERAPEUTICS, INC. (XNAS:ATXS)",Biotechnology & Medical Research,10.71,11.96,172963,7/10/2022 23:27
AcuityAds Holdings Inc. (XNAS:ATY),Media & Publishing,1.71,1.75,31904,7/10/2022 20:00
ANGLOGOLD ASHANTI LTD (XNYS:AU),Metals & Mining,14.44,14.74,3297075,7/10/2022 23:00
ATLANTIC UNION BANKSHARES CORPORATION (XNAS:AUB),Banking Services,31.23,32.03,255917,7/10/2022 20:10
ATLANTIC UNION BANKSHARES CORPORATION (XNAS:AUBAP),Banking Services,23.58,23.75,17630,7/10/2022 20:00
"AUBURN NATIONAL BANCORPORATION, INC. (XNAS:AUBN)",Banking Services,22.33,22.6,2679,7/10/2022 20:00
"Audacy, Inc. (XNYS:AUD)",Media & Publishing,0.34,0.38,870032,7/10/2022 23:39
AUDIOCODES LTD (XNAS:AUDC),Software & IT Services,20.49,21.46,72198,7/10/2022 20:00
"AUGMEDIX, INC. (XNAS:AUGX)",Professional & Commercial Services,1.17,1.27,41072,7/10/2022 20:00
AUTHID INC. (XNAS:AUID),Software & IT Services,1.93,2.49,19284,7/10/2022 22:00
GOLDEN MINERALS COMPANY (XNYS:AUMN),Metals & Mining,0.27,0.28,610084,7/10/2022 22:36
Aurinia Pharmaceuticals Inc. (XNAS:AUPH),Biotechnology & Medical Research,7.35,7.64,2155681,7/10/2022 23:49
"AURORA INNOVATION, INC. (XNAS:AUR)",Software & IT Services,2.4,2.44,3583253,7/10/2022 23:59
"AURA BIOSCIENCES, INC. (XNAS:AURA)",Biotechnology & Medical Research,13.77,13.77,94605,7/10/2022 20:01
AURORA ACQUISITION CORP. (XNAS:AURC),Holding Companies,9.89,9.89,60928,7/10/2022 19:11
Austerlitz Acquisition Corp I (XNYS:AUS),Holding Companies,9.94,9.93,953114,7/10/2022 23:00
AUSTIN GOLD CORP. (XNYS:AUST),Metals & Mining,1.22,1.24,70783,7/10/2022 23:02
AUTOLUS THERAPEUTICS PLC (XNAS:AUTL),Biotechnology & Medical Research,3.1,3.07,138611,7/10/2022 20:02
AUDDIA INC. (XNAS:AUUD),Software & IT Services,1.12,1.19,24420,7/10/2022 22:25
"APPLIED UV, INC. (XNAS:AUVI)","Machinery, Equipment & Components",1.25,1.31,97193,7/10/2022 22:24
"APPLIED UV, INC. (XNAS:AUVIP)","Machinery, Equipment & Components",24.05,24.02,1659,7/10/2022 19:40
YAMANA GOLD INC. (XNYS:AUY),Metals & Mining,4.84,4.98,16963542,7/10/2022 23:59
AVISTA CORPORATION (XNYS:AVA),Multiline Utilities,36.57,37.39,428894,7/10/2022 23:00
AVALON ACQUISITION INC. (XNAS:AVAC),Holding Companies,10.03,10.03,24349,7/10/2022 20:00
AVALON ACQUISITION UNT (XNAS:AVACU),#FIELD!,10.08,10.07,715,6/10/2022 20:00
AVEANNA HEALTHCARE HOLDINGS INC. (XNAS:AVAH),Healthcare Providers & Services,1.32,1.45,211260,7/10/2022 21:03
Grupo Aval Acciones y Valores SA (XNYS:AVAL),Banking Services,2.48,2.54,125919,7/10/2022 23:03
AVANTI ACQUISITION CORP. (XNYS:AVAN),Holding Companies,10.04,10.03,413863,6/10/2022 23:00
"AEROVIRONMENT, INC. (XNAS:AVAV)",Aerospace & Defense,76.84,79.15,332541,7/10/2022 23:49
"AVALONBAY COMMUNITIES, INC. (XNYS:AVB)",Residential & Commercial REIT,172.28,177.63,720893,7/10/2022 23:00
AVALON GLOBOCARE CORP. (XNAS:AVCO),Biotechnology & Medical Research,0.47,0.45,135085,7/10/2022 23:26
"AMERICAN VIRTUAL CLOUD TECHNOLOGIES, INC (XNAS:AVCT)",Software & IT Services,2.18,2.45,8833475,7/10/2022 23:59
AMERICAN VANGUARD CORPORATION (XNYS:AVD),Chemicals,20.49,20.91,260569,7/10/2022 23:00
AVADEL PHARMACEUTICALS PUBLIC LIMITED COMPANY (XNAS:AVDL),Pharmaceuticals,6.09,6.46,762423,7/10/2022 23:52
Avidxchange Holdings Inc (XNAS:AVDX),Software & IT Services,8.34,8.49,1789667,7/10/2022 22:55
"AVEO PHARMACEUTICALS, INC. (XNAS:AVEO)",Pharmaceuticals,8.86,8.77,292920,7/10/2022 20:00
Broadcom Inc. (XNAS:AVGO),Semiconductors & Semiconductor Equipment,460.48,479.5,2632108,7/10/2022 23:59
"AVINGER, INC. (XNAS:AVGR)",Healthcare Equipment & Supplies,1.28,1.29,39399,7/10/2022 23:48
ACHARI VENTURES HOLDINGS CORP. I (XNAS:AVHI),Holding Companies,10.02,10.02,2441,4/10/2022 20:00
"AVID TECHNOLOGY, INC. (XNAS:AVID)",Software & IT Services,24.43,25.47,511149,7/10/2022 22:19
"ATEA PHARMACEUTICALS, INC. (XNAS:AVIR)",Biotechnology & Medical Research,5.4,5.67,586513,7/10/2022 22:56
Advent Conv and Inc (XNYS:AVK),#FIELD!,11.09,11.37,106149,7/10/2022 23:00
"AVALARA, INC. (XNYS:AVLR)",Software & IT Services,92.65,92.57,3583592,7/10/2022 23:00
"AVANOS MEDICAL, INC. (XNYS:AVNS)",Healthcare Equipment & Supplies,20.96,22.03,283900,7/10/2022 23:00
AVIENT CORPORATION (XNYS:AVNT),Chemicals,30.68,32.37,762766,7/10/2022 23:00
"AVIAT NETWORKS, INC. (XNAS:AVNW)",Communications & Networking,27.72,28.57,68220,7/10/2022 20:01
"MISSION PRODUCE, INC. (XNAS:AVO)",Food & Tobacco,14.41,14.65,119155,7/10/2022 20:01
"AVEPOINT, INC. (XNAS:AVPT)",Software & IT Services,3.82,4.06,598180,7/10/2022 23:15
"AVROBIO, INC. (XNAS:AVRO)",Biotechnology & Medical Research,0.67,0.66,314069,7/10/2022 20:02
"AVNET, INC. (XNAS:AVT)",Electronic Equipment & Parts,37.91,38.96,962249,7/10/2022 20:41
AEROVATE THERAPEUTICS INC. (XNAS:AVTE),Biotechnology & Medical Research,16.4,16.01,87308,7/10/2022 20:01
"AVANTOR, INC. (XNYS:AVTR)",Healthcare Equipment & Supplies,20.12,21.09,7532277,7/10/2022 23:00
"AVALO THERAPEUTICS, INC. (XNAS:AVTX)",Biotechnology & Medical Research,4.12,4.15,21780,7/10/2022 20:00
ANAVEX LIFE SCIENCES CORP. (XNAS:AVXL),Biotechnology & Medical Research,10.51,11.03,802536,7/10/2022 22:44
AVERY DENNISON CORPORATION (XNYS:AVY),Containers & Packaging,165.53,170.1,468800,7/10/2022 23:00
AVAYA HOLDINGS CORP. (XNYS:AVYA),Communications & Networking,1.22,1.38,13340792,7/10/2022 23:59
AllianceBernstein Gl HI (XNYS:AWF),#FIELD!,9.08,9.08,176065,7/10/2022 23:36
ASPIRA WOMEN'S HEALTH INC. (XNAS:AWH),Biotechnology & Medical Research,0.38,0.36,420939,7/10/2022 22:23
"ARMSTRONG WORLD INDUSTRIES, INC. (XNYS:AWI)",Homebuilding & Construction Supplies,82.89,84.12,286025,7/10/2022 23:00
"AMERICAN WATER WORKS COMPANY, INC. (XNYS:AWK)",Water Utilities,127.45,131.24,776031,7/10/2022 23:00
abrdn Glbl Prem Prop (XNYS:AWP),#FIELD!,3.73,3.83,419899,7/10/2022 23:00
AMERICAN STATES WATER COMPANY (XNYS:AWR),Water Utilities,79.71,81,227078,7/10/2022 23:00
"AWARE, INC. (XNAS:AWRE)",Software & IT Services,1.77,1.74,16400,7/10/2022 20:00
AVALON HOLDINGS CORPORATION (XNYS:AWX),Professional & Commercial Services,2.57,2.63,4519,7/10/2022 20:10
"AXOS FINANCIAL, INC. (XNYS:AX)",Banking Services,35.64,36.75,348803,7/10/2022 23:00
AXIOS Sustainable Growth Acquisition Corp (XNYS:AXAC),Holding Companies,10.13,10.12,3983,7/10/2022 23:00
"ACCELERATE DIAGNOSTICS, INC. (XNAS:AXDX)",Healthcare Equipment & Supplies,1.56,1.65,456106,7/10/2022 22:40
"AXOGEN, INC. (XNAS:AXGN)",Healthcare Equipment & Supplies,11.32,11.76,267327,7/10/2022 20:01
Industrial Human Capital Inc (XNYS:AXH),Holding Companies,10.16,10.18,11404,7/10/2022 23:00
"AMERICAN AXLE & MANUFACTURING HOLDINGS, INC. (XNYS:AXL)",Automobiles & Auto Parts,7.65,8.02,1740884,7/10/2022 23:00
AXCELLA HEALTH INC. (XNAS:AXLA),Biotechnology & Medical Research,1.65,1.78,275548,7/10/2022 23:09
"AXONICS, INC. (XNAS:AXNX)",Healthcare Equipment & Supplies,72.51,74.65,655964,7/10/2022 20:01
"AXON ENTERPRISE, INC. (XNAS:AXON)",Aerospace & Defense,123.75,126.44,406659,7/10/2022 23:33
AMERICAN EXPRESS COMPANY (XNYS:AXP),Banking Services,139,142.38,3041647,7/10/2022 23:59
AMREP CORPORATION (XNYS:AXR),Construction & Engineering,11.27,12,13761,7/10/2022 23:00
AXIS CAPITAL HOLDINGS LIMITED (XNYS:AXS),Insurance,49.59,51.63,515235,7/10/2022 23:00
"AXSOME THERAPEUTICS, INC. (XNAS:AXSM)",Biotechnology & Medical Research,45.82,48.5,1115966,7/10/2022 23:57
AXALTA COATING SYSTEMS LTD. (XNYS:AXTA),Chemicals,22.07,23.33,2005016,7/10/2022 23:00
"AXT, INC. (XNAS:AXTI)",Semiconductors & Semiconductor Equipment,5.13,5.32,325593,7/10/2022 23:55
ATLANTICA SUSTAINABLE INFRASTRUCTURE PLC (XNAS:AY),Electrical Utilities & IPPs,25.82,26.61,602989,7/10/2022 21:34
"ACUITY BRANDS, INC. (XNYS:AYI)",Homebuilding & Construction Supplies,157.21,164.34,370201,7/10/2022 23:00
"AYALA PHARMACEUTICALS, INC. (XNAS:AYLA)",Biotechnology & Medical Research,0.93,0.98,430195,7/10/2022 20:54
"AYRO, INC. (XNAS:AYRO)",Automobiles & Auto Parts,0.57,0.59,140138,7/10/2022 23:30
"AYTU BIOPHARMA, INC. (XNAS:AYTU)",Pharmaceuticals,0.17,0.18,1203293,7/10/2022 23:59
"ALTERYX, INC. (XNYS:AYX)",Software & IT Services,53.93,56.94,680682,7/10/2022 23:50
A2Z Smart Technologies Corp. (XNAS:AZ),Aerospace & Defense,1.76,1.6,44405,7/10/2022 23:25
THE AZEK COMPANY INC. (XNYS:AZEK),Homebuilding & Construction Supplies,17.75,18.77,1797027,7/10/2022 23:59
ASTRAZENECA PLC (XNAS:AZN),Pharmaceuticals,55.4,54.91,7583788,7/10/2022 23:51
"AUTOZONE, INC. (XNYS:AZO)",Specialty Retailers,2174,2215.88,168244,7/10/2022 23:00
"ASPEN TECHNOLOGY, INC. (XNAS:AZPN)",Software & IT Services,253.41,253.95,223402,7/10/2022 20:01
AZURE POWER GLOBAL LIMITED (XNYS:AZRE),Electrical Utilities & IPPs,5.29,5.46,1424134,7/10/2022 23:55
"Azenta, Inc. (XNAS:AZTA)",Biotechnology & Medical Research,41.91,44.97,692450,7/10/2022 20:01
Azul SA (XNYS:AZUL),Passenger Transportation Services,9.94,10.04,1867641,7/10/2022 23:02
"AZIYO BIOLOGICS, INC. (XNAS:AZYO)",Healthcare Equipment & Supplies,7.01,6.98,4315,7/10/2022 20:00
AZZ INC. (XNYS:AZZ),"Machinery, Equipment & Components",38.4,39.19,127847,7/10/2022 23:43
BARNES GROUP INC. (XNYS:B),"Machinery, Equipment & Components",31.46,31.88,285541,7/10/2022 23:00
THE BOEING COMPANY (XNYS:BA),Aerospace & Defense,129.79,132.2,7097670,7/10/2022 23:59
Alibaba Group Holding Limited (XNYS:BABA),Software & IT Services,81.24,84.32,15901845,7/10/2022 23:59
BANK OF AMERICA CORPORATION (XNYS:BAC),Banking Services,30.75,31.46,40449236,7/10/2022 23:59
BERENSON ACQUISITION CORP. I (XNYS:BACA),Holding Companies,9.86,9.84,70421,7/10/2022 23:00
"Imac Holdings, Inc. (XNAS:BACK)",Healthcare Providers & Services,0.39,0.4,126263,7/10/2022 21:39
BAYFIRST FINANCIAL CORP. (XNAS:BAFN),Banking Services,17.9,18.5,6462,7/10/2022 20:00
BOOZ ALLEN HAMILTON HOLDING CORPORATION (XNYS:BAH),Software & IT Services,97.24,96.58,798571,7/10/2022 23:50
Braskem SA (XNYS:BAK),Chemicals,10.59,10.84,216779,7/10/2022 23:00
BALL CORPORATION (XNYS:BALL),Containers & Packaging,48.52,49.94,2659673,7/10/2022 23:00
BALLY'S CORPORATION (XNYS:BALY),Hotels & Entertainment Services,21.05,21.44,336838,7/10/2022 23:00
Brookfield Asset Management Inc. (XNYS:BAM),Investment Banking & Investment Services,40.42,42.11,1790874,7/10/2022 23:56
Brookfield Finance Inc (XNYS:BAMH),#FIELD!,17.23,17.54,20541,7/10/2022 23:00
Brookfield Finance I (Uk) PLC (XNYS:BAMI),#FIELD!,16.83,17.4,19220,7/10/2022 23:00
Brookfield Asset Management Reinsurance Partners Ltd. (XNYS:BAMR),Insurance,40.34,42.01,12744,7/10/2022 23:00
"BANC OF CALIFORNIA, INC. (XNYS:BANC)",Banking Services,16.28,16.74,301034,7/10/2022 23:00
BANDWIDTH INC. (XNAS:BAND),Telecommunications Services,11.86,12.83,525011,7/10/2022 22:00
BANCFIRST CORPORATION (XNAS:BANF),Banking Services,89.96,91.19,178194,7/10/2022 20:10
BFC Capital Trust II (XNAS:BANFP),#FIELD!,28.07,27,497,7/10/2022 20:00
BANNER CORPORATION (XNAS:BANR),Banking Services,61.09,62.55,160257,7/10/2022 20:01
ARROWMARK FINANCIAL CORP. (XNAS:BANX),Collective Investments,17.31,17.45,16229,7/10/2022 20:00
Baosheng Media Group Holdings Limited (XNAS:BAOS),Media & Publishing,0.85,0.88,35796,7/10/2022 20:12
CREDICORP LTD. (XNYS:BAP),Banking Services,130.68,129.71,297795,7/10/2022 23:00
"BARK, INC. (XNYS:BARK)",Specialty Retailers,1.81,1.88,1840864,7/10/2022 23:35
"COUCHBASE, INC. (XNAS:BASE)",Software & IT Services,14.58,15.86,424163,7/10/2022 20:13
BATTALION OIL CORPORATION (XNYS:BATL),Oil & Gas,13.66,13.93,17721,7/10/2022 20:10
LIBERTY MEDIA CORPORATION (XNAS:BATRA),Media & Publishing,28.8,28.94,58573,7/10/2022 20:01
LIBERTY MEDIA CORPORATION (XNAS:BATRK),Media & Publishing,28.23,28.25,146821,7/10/2022 22:35
BAXTER INTERNATIONAL INC. (XNYS:BAX),Healthcare Equipment & Supplies,55.62,56.25,3076741,7/10/2022 23:00
"BigBear.ai Holdings, Inc. (XNYS:BBAI)",Software & IT Services,1.48,1.49,2690313,7/10/2022 23:58
Banco Bbva Argentina SA (XNYS:BBAR),Banking Services,3.12,3.2,527607,7/10/2022 23:46
BED BATH & BEYOND INC. (XNAS:BBBY),Specialty Retailers,5.42,5.87,16003816,7/10/2022 23:59
"CONCRETE PUMPING HOLDINGS, INC. (XNAS:BBCP)",Construction & Engineering,6.45,6.51,72445,7/10/2022 20:01
Banco Bradesco SA (XNYS:BBD),Banking Services,3.95,4.04,28456625,7/10/2022 23:00
"Barings BDC, Inc. (XNYS:BBDC)",Collective Investments,8.19,8.41,541250,7/10/2022 23:53
Banco Bradesco SA (XNYS:BBDO),Banking Services,3.19,3.27,16416,7/10/2022 23:00
"BEASLEY BROADCAST GROUP, INC. (XNAS:BBGI)",Media & Publishing,1.1,1.1,22078,7/10/2022 22:37
"VINCO VENTURES, INC. (XNAS:BBIG)",Media & Publishing,0.98,1.02,10983509,7/10/2022 23:59
"BridgeBio Pharma, Inc. (XNAS:BBIO)",Pharmaceuticals,10.41,10.85,1934112,7/10/2022 23:55
BONE BIOLOGICS CORPORATION (XNAS:BBLG),Healthcare Equipment & Supplies,0.58,0.9,140638,7/10/2022 23:59
BABYLON HOLDINGS LIMITED (XNYS:BBLN),Healthcare Equipment & Supplies,0.49,0.5,370449,7/10/2022 23:17
BlackRock Tax Muni Bond (XNYS:BBN),#FIELD!,16.36,16.39,274298,7/10/2022 23:00
"BARRETT BUSINESS SERVICES, INC. (XNAS:BBSI)",Professional & Commercial Services,78.8,79.34,41573,7/10/2022 20:54
BROOKFIELD BSNS PTNR UNT (XNYS:BBU),#FIELD!,19.36,20,12382,7/10/2022 23:00
BROOKFIELD BUSINESS CORPORATION (XNYS:BBUC),Consumer Goods Conglomerates,21.63,21.92,28856,7/10/2022 23:00
Banco Bilbao Vizcaya Argentaria SA (XNYS:BBVA),Banking Services,4.51,4.56,2091773,7/10/2022 23:00
"BUILD-A-BEAR WORKSHOP, INC. (XNYS:BBW)",Specialty Retailers,13.82,14.34,387219,7/10/2022 23:00
"BATH & BODY WORKS, INC. (XNYS:BBWI)",Specialty Retailers,35.51,35.29,3205243,7/10/2022 23:00
"Best Buy Co., Inc. (XNYS:BBY)",Specialty Retailers,64.53,66.81,2571980,7/10/2022 23:35
Brunello Cucinelli SpA (XMIL:BC),Specialty Retailers,50.3,51.05,51100,7/10/2022 15:55
"BIOATLA, INC. (XNAS:BCAB)",Biotechnology & Medical Research,8.23,8.31,403181,7/10/2022 20:08
BYND CANNASOFT ENTERPRISES INC. (XNAS:BCAN),Software & IT Services,2.66,2.72,1342124,7/10/2022 23:34
BLACKROCK CAPITAL ALLOCATION TRUST (XNYS:BCAT),Collective Investments,13.51,13.69,459556,7/10/2022 23:00
"BCB BANCORP, INC. (XNAS:BCBP)",Banking Services,16.82,17.4,41744,7/10/2022 20:01
BOISE CASCADE COMPANY (XNYS:BCC),Homebuilding & Construction Supplies,61.73,63.63,257801,7/10/2022 23:00
"BIOCARDIA, INC. (XNAS:BCDA)",Biotechnology & Medical Research,2.09,2.14,53403,7/10/2022 23:57
"ATRECA, INC. (XNAS:BCEL)",Biotechnology & Medical Research,1.67,1.81,109877,7/10/2022 21:34
BANK OF CHILE (XNYS:BCH),Banking Services,18.16,18.15,156263,7/10/2022 23:00
BRAINSTORM CELL THERAPEUTICS INC. (XNAS:BCLI),Biotechnology & Medical Research,3.76,4.11,271898,7/10/2022 23:55
BAYCOM CORP (XNAS:BCML),Banking Services,17.62,18.01,41268,7/10/2022 20:01
THE BRINK'S COMPANY (XNYS:BCO),Professional & Commercial Services,56.04,56.5,252353,7/10/2022 23:00
"BLUCORA, INC. (XNAS:BCOR)",Investment Banking & Investment Services,20.37,20.86,261741,7/10/2022 20:01
BRIGHTCOVE INC. (XNAS:BCOV),Software & IT Services,6.4,6.67,148855,7/10/2022 20:01
"1895 Bancorp of Wisconsin, Inc. (XNAS:BCOW)",Banking Services,10.27,10.42,41551,7/10/2022 20:00
