Symbol,Industry,Price,Previous Close,Volume average,Last trade time
ACE GLOBAL BUSINESS ACQUISITION LIMITED (XNAS:ACBA),Holding Companies,10.5,10.45,6947,7/10/2022 20:00
Accolade Inc (XNAS:ACCD),Healthcare Providers & Services,11.48,12.39,737565,7/10/2022 23:40
ACCO BRANDS CORPORATION (XNYS:ACCO),Professional & Commercial Services,4.97,5.21,719005,7/10/2022 23:00
ASCENDANT DIGITAL ACQUISITION CORP. III (XNYS:ACDI),Holding Companies,10.14,10.16,37316,7/10/2022 23:00
"ACCEL ENTERTAINMENT, INC. (XNYS:ACEL)",Hotels & Entertainment Services,8.45,8.46,318799,7/10/2022 23:36
ACER THERAPEUTICS INC. (XNAS:ACER),Biotechnology & Medical Research,1.38,1.38,75562,7/10/2022 22:16
"ADICET BIO, INC. (XNAS:ACET)",Biotechnology & Medical Research,14.9,15.7,649649,7/10/2022 22:15
ACE CONVERGENCE ACQUISITION CORP. (XNAS:ACEV),Holding Companies,10.3,10.27,26923,7/10/2022 21:08
ACE CONVERGENCE ACQUISITION UNT (XNAS:ACEVU),#FIELD!,10.29,10.28,91,5/10/2022 20:00
ARCH CAPITAL GROUP LTD. (XNAS:ACGL),Insurance,45.67,48,1665567,7/10/2022 23:59
ARCH CAPITAL GROUP LTD. (XNAS:ACGLN),Insurance,18.66,18.82,52048,7/10/2022 20:00
ARCH CAPITAL GROUP LTD. (XNAS:ACGLO),Insurance,21.39,21.58,21383,7/10/2022 19:59
"ACADIA HEALTHCARE COMPANY, INC. (XNAS:ACHC)",Healthcare Providers & Services,80.17,82.78,591472,7/10/2022 23:59
ACHILLES THERAPEUTICS PLC (XNAS:ACHL),Biotechnology & Medical Research,2.21,2.27,23741,7/10/2022 20:02
ARCHER AVIATION INC. (XNYS:ACHR),Aerospace & Defense,2.64,2.86,1613086,7/10/2022 23:00
"ACHIEVE LIFE SCIENCES, INC. (XNAS:ACHV)",Biotechnology & Medical Research,3.31,3.38,27143,7/10/2022 22:16
"ACI WORLDWIDE, INC. (XNAS:ACIW)",Financial Technology (Fintech) & Infrastructure,21.93,22.12,908139,7/10/2022 22:36
ATLAS CREST INVESTMENT CORP. II (XNYS:ACII),Holding Companies,9.88,9.88,77740,7/10/2022 23:00
AC Immune Ltd (XNAS:ACIU),Biotechnology & Medical Research,2.75,3.12,73815,7/10/2022 20:00
"ACI WORLDWIDE, INC. (XNAS:ACIW)",Financial Technology (Fintech) & Infrastructure,21.93,22.12,908139,7/10/2022 22:36
"AXCELIS TECHNOLOGIES, INC. (XNAS:ACLS)",Semiconductors & Semiconductor Equipment,61.46,66.48,361177,7/10/2022 23:57
"ARCELLX, INC. (XNAS:ACLX)",Biotechnology & Medical Research,17.18,18.49,696091,7/10/2022 20:01
AECOM (XNYS:ACM),Construction & Engineering,72.09,73.14,672706,7/10/2022 23:00
"ACM RESEARCH, INC. (XNAS:ACMR)",Semiconductors & Semiconductor Equipment,12.3,13.24,404648,7/10/2022 22:09
ACCENTURE PUBLIC LIMITED COMPANY (XNYS:ACN),Software & IT Services,259.71,269.47,2407029,7/10/2022 23:35
ACNB CORPORATION (XNAS:ACNB),Banking Services,29.49,30.32,15087,7/10/2022 20:01
ASCENT INDUSTRIES CO. (XNAS:ACNT),Metals & Mining,13.54,14.39,15366,7/10/2022 20:00
"Aclarion, Inc. (XNAS:ACON)",Biotechnology & Medical Research,0.88,0.8,97296,7/10/2022 21:32
"ACORDA THERAPEUTICS, INC. (XNAS:ACOR)",Biotechnology & Medical Research,0.37,0.37,473055,7/10/2022 23:07
abrdn Inc Credit Str (XNYS:ACP),#FIELD!,6.42,6.56,112342,7/10/2022 23:00
Independence Holdings Corp. (XNAS:ACQR),Holding Companies,9.94,9.94,135426,7/10/2022 20:00
INDEPENDENCE HOLDINGS UNT (XNAS:ACQRU),#FIELD!,9.93,9.93,4847,6/10/2022 20:00
ACRES COMMERCIAL REALTY CORP. (XNYS:ACR),Residential & Commercial REIT,8.53,8.75,13566,7/10/2022 23:00
